#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-0.000000000000000000e+00-3.995440046306759996e+02j)
 (2.000057696568074171e+06+0.000000000000000000e+00j)  (-2.226037811462645948e+02-3.044643620564857542e+02j)
 (4.000115393136148341e+06+0.000000000000000000e+00j)  (-2.995815999691401430e+02-9.540737390265417162e+01j)
 (6.000173089704222977e+06+0.000000000000000000e+00j)  (-2.119426487050382377e+02+7.081154270846927545e+01j)
 (8.000230786272296682e+06+0.000000000000000000e+00j)  (-7.049973210234053056e+01+9.899658403801038276e+01j)
 (1.000028848284037039e+07+0.000000000000000000e+00j)  (-1.655185990471958607e-02+2.703232512941566767e+01j)
 (1.200034617940844595e+07+0.000000000000000000e+00j)  (-2.715853510792782544e+01-3.527113442184508330e+01j)
 (1.400040387597651966e+07+0.000000000000000000e+00j)  (-8.019470641072051365e+01-2.387926299772818695e+01j)
 (1.600046157254459336e+07+0.000000000000000000e+00j)  (-8.382199808528744711e+01+2.954483877963777516e+01j)
 (1.800051926911266893e+07+0.000000000000000000e+00j)  (-3.763709771689816819e+01+5.443972715399650042e+01j)
 (2.000057696568074077e+07+0.000000000000000000e+00j)  (3.410300953482122699e-01+2.725512415657735943e+01j)
 (2.200063466224881634e+07+0.000000000000000000e+00j)  (-9.014396088851766464e+00-1.068249704021511448e+01j)
 (2.400069235881689191e+07+0.000000000000000000e+00j)  (-4.333156591205248986e+01-1.193786682480606665e+01j)
 (2.600075005538496375e+07+0.000000000000000000e+00j)  (-5.407622847233979257e+01+2.004883020585960907e+01j)
 (2.800080775195303932e+07+0.000000000000000000e+00j)  (-2.810663410244035987e+01+4.182809424229374429e+01j)
 (3.000086544852111116e+07+0.000000000000000000e+00j)  (6.720085473578631952e-01+2.749522006218586156e+01j)
 (3.200092314508918673e+07+0.000000000000000000e+00j)  (-1.936060767864155485e+00-1.367070461280505578e+00j)
 (3.400098084165725857e+07+0.000000000000000000e+00j)  (-2.793417443001493083e+01-7.025474141846284937e+00j)
 (3.600103853822533786e+07+0.000000000000000000e+00j)  (-4.075929197258574987e+01+1.583274554980398463e+01j)
 (3.800109623479340971e+07+0.000000000000000000e+00j)  (-2.353314315216080743e+01+3.596835103759828201e+01j)
 (4.000115393136148155e+07+0.000000000000000000e+00j)  (9.840397194151664362e-01+2.779062161666304931e+01j)
 (4.200121162792956084e+07+0.000000000000000000e+00j)  (1.997730713299101124e+00+3.612783692626471588e+00j)
 (4.400126932449763268e+07+0.000000000000000000e+00j)  (-1.936571997839497428e+01-4.355087285364134253e+00j)
 (4.600132702106570452e+07+0.000000000000000000e+00j)  (-3.319616552046576174e+01+1.345396408030035573e+01j)
 (4.800138471763378382e+07+0.000000000000000000e+00j)  (-2.086854961752706572e+01+3.268437079236797160e+01j)
 (5.000144241420185566e+07+0.000000000000000000e+00j)  (1.272378864222821093e+00+2.818009050376184987e+01j)
 (5.200150011076992750e+07+0.000000000000000000e+00j)  (4.620914212506138874e+00+6.813440280718554121e+00j)
 (5.400155780733799934e+07+0.000000000000000000e+00j)  (-1.381554355514609433e+01-2.658731795127192488e+00j)
 (5.600161550390607864e+07+0.000000000000000000e+00j)  (-2.831512108832718866e+01+1.194803714009749562e+01j)
 (5.800167320047415048e+07+0.000000000000000000e+00j)  (-1.914174626581390370e+01+3.069092888056221469e+01j)
 (6.000173089704222232e+07+0.000000000000000000e+00j)  (1.561637918339068065e+00+2.867683701721055201e+01j)
 (6.200178859361030161e+07+0.000000000000000000e+00j)  (6.605288135064441235e+00+9.130165902831647529e+00j)
 (6.400184629017837346e+07+0.000000000000000000e+00j)  (-9.846862321277466634e+00-1.480339189494772612e+00j)
 (6.600190398674644530e+07+0.000000000000000000e+00j)  (-2.491404619095424877e+01+1.091901182514403068e+01j)
 (6.800196168331451714e+07+0.000000000000000000e+00j)  (-1.796925515069577273e+01+2.945571309879145616e+01j)
 (7.000201937988258898e+07+0.000000000000000000e+00j)  (1.848991044354746149e+00+2.929637657554231467e+01j)
 (7.200207707645067573e+07+0.000000000000000000e+00j)  (8.244763605067261025e+00+1.097575934965543176e+01j)
 (7.400213477301874757e+07+0.000000000000000000e+00j)  (-6.798229274054704341e+00-5.970961173102360409e-01j)
 (7.600219246958681941e+07+0.000000000000000000e+00j)  (-2.242060209796466097e+01+1.019089489785688230e+01j)
 (7.800225016615489125e+07+0.000000000000000000e+00j)  (-1.715931177617135361e+01+2.873144448195876777e+01j)
 (8.000230786272296309e+07+0.000000000000000000e+00j)  (2.142496217279654225e+00+3.005686752409742368e+01j)
 (8.200236555929103494e+07+0.000000000000000000e+00j)  (9.701409954607679964e+00+1.256546613172410254e+01j)
 (8.400242325585912168e+07+0.000000000000000000e+00j)  (-4.316994618164139652e+00+1.052181834837540020e-01j)
 (8.600248095242719352e+07+0.000000000000000000e+00j)  (-2.053139463228167827e+01+9.668749674695543916e+00j)
 (8.800253864899526536e+07+0.000000000000000000e+00j)  (-1.661285462830567283e+01+2.839142753794445895e+01j)
 (9.000259634556333721e+07+0.000000000000000000e+00j)  (2.447759249420850214e+00+3.098299232747869780e+01j)
 (9.200265404213140905e+07+0.000000000000000000e+00j)  (1.107597053514424346e+01+1.403231187681959113e+01j)
 (9.400271173869948089e+07+0.000000000000000000e+00j)  (-2.191666670111604986e+00+6.957559731350444476e-01j)
 (9.600276943526756763e+07+0.000000000000000000e+00j)  (-1.906753216585385857e+01+9.298938351568551752e+00j)
 (9.800282713183563948e+07+0.000000000000000000e+00j)  (-1.627264573776371392e+01+2.836855839590068840e+01j)
 (1.000028848284037113e+08+0.000000000000000000e+00j)  (2.771990611762594092e+00+3.210204687440004534e+01j)
 (1.020029425249717832e+08+0.000000000000000000e+00j)  (1.243938512861858214e+01+1.546527898107853893e+01j)
 (1.040030002215398550e+08+0.000000000000000000e+00j)  (-2.856859197549311835e-01+1.217652271237332551e+00j)
 (1.060030579181079268e+08+0.000000000000000000e+00j)  (-1.792077346672639493e+01+9.049602914264006870e+00j)
 (1.080031156146759987e+08+0.000000000000000000e+00j)  (-1.610882642104049012e+01+2.863239383719400521e+01j)
 (1.100031733112440854e+08+0.000000000000000000e+00j)  (3.122071443282054215e+00+3.345014647980473654e+01j)
 (1.120032310078121573e+08+0.000000000000000000e+00j)  (1.384845837003782520e+01+1.693477038652715905e+01j)
 (1.140032887043802291e+08+0.000000000000000000e+00j)  (1.497328396219961499e+00+1.702236707572001295e+00j)
 (1.160033464009483010e+08+0.000000000000000000e+00j)  (-1.702422907125696128e+01+8.904594095579899005e+00j)
 (1.180034040975163728e+08+0.000000000000000000e+00j)  (-1.610858776029177974e+01+2.918120656971636961e+01j)
 (1.200034617940844446e+08+0.000000000000000000e+00j)  (3.508466287603484002e+00+3.507862007258989223e+01j)
 (1.220035194906525314e+08+0.000000000000000000e+00j)  (1.536083670246520150e+01+1.850653870444696736e+01j)
 (1.240035771872206032e+08+0.000000000000000000e+00j)  (3.238365142354040938e+00+2.173108909744427386e+00j)
 (1.260036348837886751e+08+0.000000000000000000e+00j)  (-1.633366453561409415e+01+8.853619396601413172e+00j)
