#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.320296412673022246e+01-0.000000000000000000e+00j)
 (2.000057696568074171e+06+0.000000000000000000e+00j)  (2.350248728961742017e+01+4.531004591113919067e-01j)
 (4.000115393136148341e+06+0.000000000000000000e+00j)  (2.391127097626832310e+01+3.125418391988848965e-01j)
 (6.000173089704222977e+06+0.000000000000000000e+00j)  (2.374275955036354802e+01-4.924782093008184258e-02j)
 (8.000230786272296682e+06+0.000000000000000000e+00j)  (2.323409174712026726e+01+1.356765466601266568e-01j)
 (1.000028848284037039e+07+0.000000000000000000e+00j)  (2.321858713457426049e+01+7.883173682752956379e-01j)
 (1.200034617940844595e+07+0.000000000000000000e+00j)  (2.380149196534594935e+01+1.034920364057855036e+00j)
 (1.400040387597651966e+07+0.000000000000000000e+00j)  (2.410612367497368425e+01+5.608892958282019059e-01j)
 (1.600046157254459336e+07+0.000000000000000000e+00j)  (2.359071212975128162e+01+1.944271728984930669e-01j)
 (1.800051926911266893e+07+0.000000000000000000e+00j)  (2.297150932046675464e+01+7.082045063046352729e-01j)
 (2.000057696568074077e+07+0.000000000000000000e+00j)  (2.323591637985852998e+01+1.568715417668461232e+00j)
 (2.200063466224881634e+07+0.000000000000000000e+00j)  (2.410442526130471208e+01+1.613847462559822477e+00j)
 (2.400069235881689191e+07+0.000000000000000000e+00j)  (2.430573488382187719e+01+8.058723172542098245e-01j)
 (2.600075005538496375e+07+0.000000000000000000e+00j)  (2.343920047412732899e+01+4.356390641789079643e-01j)
 (2.800080775195303932e+07+0.000000000000000000e+00j)  (2.270662996638070652e+01+1.285434530342966175e+00j)
 (3.000086544852111116e+07+0.000000000000000000e+00j)  (2.325620403439531003e+01+2.361170122791095505e+00j)
 (3.200092314508918673e+07+0.000000000000000000e+00j)  (2.441875756553213961e+01+2.203294125883400678e+00j)
 (3.400098084165725857e+07+0.000000000000000000e+00j)  (2.451704526320524380e+01+1.053412355020068913e+00j)
 (3.600103853822533786e+07+0.000000000000000000e+00j)  (2.329052029418462766e+01+6.777030017720879762e-01j)
 (3.800109623479340971e+07+0.000000000000000000e+00j)  (2.243933636312917557e+01+1.873130281784482376e+00j)
 (4.000115393136148155e+07+0.000000000000000000e+00j)  (2.328163266238588847e+01+3.173446994774808072e+00j)
 (4.200121162792956084e+07+0.000000000000000000e+00j)  (2.474955596215846398e+01+2.808647132151739001e+00j)
 (4.400126932449763268e+07+0.000000000000000000e+00j)  (2.474376271423099638e+01+1.304846566221680604e+00j)
 (4.600132702106570452e+07+0.000000000000000000e+00j)  (2.314399203258206583e+01+9.216658756240814210e-01j)
 (4.800138471763378382e+07+0.000000000000000000e+00j)  (2.216721130656396355e+01+2.476284191954992053e+00j)
 (5.000144241420185566e+07+0.000000000000000000e+00j)  (2.331297273279981042e+01+4.013334182578018883e+00j)
 (5.200150011076992750e+07+0.000000000000000000e+00j)  (2.510120893595841451e+01+3.435400875579291746e+00j)
 (5.400155780733799934e+07+0.000000000000000000e+00j)  (2.498906853622892044e+01+1.561385412733341971e+00j)
 (5.600161550390607864e+07+0.000000000000000000e+00j)  (2.299810423891232958e+01+1.168558462309907231e+00j)
 (5.800167320047415048e+07+0.000000000000000000e+00j)  (2.188693233780782421e+01+3.100491749954344289e+00j)
 (6.000173089704222232e+07+0.000000000000000000e+00j)  (2.335064095889946501e+01+4.889728764855178156e+00j)
 (6.200178859361030161e+07+0.000000000000000000e+00j)  (2.547841852811704655e+01+4.089953033519451608e+00j)
 (6.400184629017837346e+07+0.000000000000000000e+00j)  (2.525645583734398869e+01+1.824551163085079475e+00j)
 (6.600190398674644530e+07+0.000000000000000000e+00j)  (2.285105211864998154e+01+1.419655584486645639e+00j)
 (6.800196168331451714e+07+0.000000000000000000e+00j)  (2.159461364698503516e+01+3.752284276196083734e+00j)
 (7.000201937988258898e+07+0.000000000000000000e+00j)  (2.339509619519800410e+01+5.813044902282317850e+00j)
 (7.200207707645067573e+07+0.000000000000000000e+00j)  (2.588669992011770304e+01+4.779863228617814208e+00j)
 (7.400213477301874757e+07+0.000000000000000000e+00j)  (2.555009698390784934e+01+2.096193172688221029e+00j)
 (7.600219246958681941e+07+0.000000000000000000e+00j)  (2.270078567199766439e+01+1.676483818391781844e+00j)
 (7.800225016615489125e+07+0.000000000000000000e+00j)  (2.128570451801958896e+01+4.439421641334684310e+00j)
 (8.000230786272296309e+07+0.000000000000000000e+00j)  (2.344694041361988823e+01+6.795739320909959247e+00j)
 (8.200236555929103494e+07+0.000000000000000000e+00j)  (2.633275607279815844e+01+5.514254435597999660e+00j)
 (8.400242325585912168e+07+0.000000000000000000e+00j)  (2.587516505097791963e+01+2.378582493023580380e+00j)
 (8.600248095242719352e+07+0.000000000000000000e+00j)  (2.254499218732865984e+01+1.940878326902983009e+00j)
 (8.800253864899526536e+07+0.000000000000000000e+00j)  (2.095481096523008802e+01+5.171285085766215595e+00j)
 (9.000259634556333721e+07+0.000000000000000000e+00j)  (2.350701160533302669e+01+7.852980910284025562e+00j)
 (9.200265404213140905e+07+0.000000000000000000e+00j)  (2.682491738778925239e+01+6.304303475620073982e+00j)
 (9.400271173869948089e+07+0.000000000000000000e+00j)  (2.623817606527527957e+01+2.674501101366688172e+00j)
 (9.600276943526756763e+07+0.000000000000000000e+00j)  (2.238096395247332282e+01+2.215055754467239790e+00j)
 (9.800282713183563948e+07+0.000000000000000000e+00j)  (2.059535362920831503e+01+5.959452640902509479e+00j)
 (1.000028848284037113e+08+0.000000000000000000e+00j)  (2.357644858261959797e+01+9.003638033101641014e+00j)
 (1.020029425249717832e+08+0.000000000000000000e+00j)  (2.737372770087606355e+01+7.163985738439784257e+00j)
 (1.040030002215398550e+08+0.000000000000000000e+00j)  (2.664746709319462781e+01+2.987411165450659212e+00j)
 (1.060030579181079268e+08+0.000000000000000000e+00j)  (2.220541650039206161e+01+2.501740081732712007e+00j)
 (1.080031156146759987e+08+0.000000000000000000e+00j)  (2.019908071262237570e+01+6.818525321105171955e+00j)
 (1.100031733112440854e+08+0.000000000000000000e+00j)  (2.365677204210092199e+01+1.027169559946900357e+01j)
 (1.120032310078121573e+08+0.000000000000000000e+00j)  (2.799276858894577558e+01+8.111158794831275998e+00j)
 (1.140032887043802291e+08+0.000000000000000000e+00j)  (2.711387117022257698e+01+3.321723246339450153e+00j)
 (1.160033464009483010e+08+0.000000000000000000e+00j)  (2.201421683743505042e+01+2.804376474900077465e+00j)
 (1.180034040975163728e+08+0.000000000000000000e+00j)  (1.975535941970723286e+01+7.767367771448539848e+00j)
 (1.200034617940844446e+08+0.000000000000000000e+00j)  (2.375001739140984114e+01+1.168836892565814267e+01j)
 (1.220035194906525314e+08+0.000000000000000000e+00j)  (2.869990043465574558e+01+9.169190331239978065e+00j)
 (1.240035771872206032e+08+0.000000000000000000e+00j)  (2.765175080691510701e+01+3.683214115164727520e+00j)
 (1.260036348837886751e+08+0.000000000000000000e+00j)  (2.180201300045152735e+01+3.127460609620063892e+00j)
 (1.280036925803567469e+08+0.000000000000000000e+00j)  (1.925014918592766122e+01+8.830971441877995431e+00j)
 (1.300037502769248188e+08+0.000000000000000000e+00j)  (2.385897247193263837e+01+1.329528395897434478e+01j)
 (1.320038079734928906e+08+0.000000000000000000e+00j)  (2.951917697698014820e+01+1.036940253396911160e+01j)
 (1.340038656700609624e+08+0.000000000000000000e+00j)  (2.828058390357185559e+01+4.079624964397389419e+00j)
 (1.360039233666290343e+08+0.000000000000000000e+00j)  (2.156163948259409580e+01+3.477013755044981114e+00j)
 (1.380039810631971061e+08+0.000000000000000000e+00j)  (1.866437042391830303e+01+1.004333948714519487e+01j)
 (1.400040387597651780e+08+0.000000000000000000e+00j)  (2.398751870406777442e+01+1.514946749913965007e+01j)
 (1.420040964563332796e+08+0.000000000000000000e+00j)  (3.048384868542481385e+01+1.175495108860601867e+01j)
 (1.440041541529013515e+08+0.000000000000000000e+00j)  (2.902748358563937714e+01+4.521636478116044522e+00j)
 (1.460042118494694233e+08+0.000000000000000000e+00j)  (2.128317488360352172e+01+3.861360727993498720e+00j)
 (1.480042695460374951e+08+0.000000000000000000e+00j)  (1.797128289070567320e+01+1.145215147665010313e+01j)
 (1.500043272426055670e+08+0.000000000000000000e+00j)  (2.414119237781429561e+01+1.733147219544945727e+01j)
 (1.520043849391736388e+08+0.000000000000000000e+00j)  (3.164129255021351028e+01+1.338720113038534443e+01j)
 (1.540044426357417107e+08+0.000000000000000000e+00j)  (2.993137622314745983e+01+5.024506111524332574e+00j)
 (1.560045003323097825e+08+0.000000000000000000e+00j)  (2.095239633303873461e+01+4.292458990487582504e+00j)
 (1.580045580288778543e+08+0.000000000000000000e+00j)  (1.713212195325696641e+01+1.312664221739082038e+01j)
 (1.600046157254459262e+08+0.000000000000000000e+00j)  (2.432820768009011658e+01+1.995918466093049304e+01j)
 (1.620046734220139980e+08+0.000000000000000000e+00j)  (3.306153668725866623e+01+1.535662906850968312e+01j)
 (1.640047311185820699e+08+0.000000000000000000e+00j)  (3.105026985201050138e+01+5.610837567590764685e+00j)
 (1.660047888151501417e+08+0.000000000000000000e+00j)  (2.054804288121692935e+01+4.788170187358363528e+00j)
 (1.680048465117182434e+08+0.000000000000000000e+00j)  (1.608831217555019677e+01+1.517155233797846314e+01j)
 (1.700049042082863152e+08+0.000000000000000000e+00j)  (2.456125165368641561e+01+2.321261239083500172e+01j)
 (1.720049619048543870e+08+0.000000000000000000e+00j)  (3.485271849394409571e+01+1.780265406517571591e+01j)
 (1.740050196014224589e+08+0.000000000000000000e+00j)  (3.247461974307803700e+01+6.315724452334966266e+00j)
 (1.760050772979905307e+08+0.000000000000000000e+00j)  (2.003675224927896181e+01+5.376556115612715736e+00j)
 (1.780051349945586026e+08+0.000000000000000000e+00j)  (1.474684808361996424e+01+1.775352897262564866e+01j)
 (1.800051926911266744e+08+0.000000000000000000e+00j)  (2.486104714307438712e+01+2.738137013689101806e+01j)
 (1.820052503876947463e+08+0.000000000000000000e+00j)  (3.719125027681296558e+01+2.095213407003548767e+01j)
 (1.840053080842628181e+08+0.000000000000000000e+00j)  (3.435376439379620450e+01+7.196823537367513346e+00j)
 (1.860053657808308899e+08+0.000000000000000000e+00j)  (1.936288041834248830e+01+6.104481454684830943e+00j)
 (1.880054234773989618e+08+0.000000000000000000e+00j)  (1.295045826961459845e+01+2.115512184047959110e+01j)
 (1.900054811739670336e+08+0.000000000000000000e+00j)  (2.526390000894813070e+01+3.296353450145448960e+01j)
 (1.920055388705351353e+08+0.000000000000000000e+00j)  (4.038596397879659605e+01+2.520098062351051738e+01j)
 (1.940055965671032071e+08+0.000000000000000000e+00j)  (3.695322377760384569e+01+8.356100784928738534e+00j)
 (1.960056542636712790e+08+0.000000000000000000e+00j)  (1.842602611034662985e+01+7.056732486027719631e+00j)
