#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-0.000000000000000000e+00-1.027492275960131337e+03j)
 (2.000057696568074171e+06+0.000000000000000000e+00j)  (-5.590340984375608286e+02-7.810947284706348910e+02j)
 (4.000115393136148341e+06+0.000000000000000000e+00j)  (-7.335142160502722390e+02-2.509604856836238582e+02j)
 (6.000173089704222977e+06+0.000000000000000000e+00j)  (-4.931955127595728641e+02+1.452253702941637243e+02j)
 (8.000230786272296682e+06+0.000000000000000000e+00j)  (-1.486332804373884073e+02+1.819217300457555950e+02j)
 (1.000028848284037039e+07+0.000000000000000000e+00j)  (-9.628397821194427664e+00-5.533988515624065130e+00j)
 (1.200034617940844595e+07+0.000000000000000000e+00j)  (-9.991395401649415930e+01-1.299184841923298848e+02j)
 (1.400040387597651966e+07+0.000000000000000000e+00j)  (-2.116386044234912447e+02-6.942022959944135607e+01j)
 (1.600046157254459336e+07+0.000000000000000000e+00j)  (-1.836400098782095540e+02+5.517125597531536130e+01j)
 (1.800051926911266893e+07+0.000000000000000000e+00j)  (-6.444582061364496894e+01+7.900517573006072780e+01j)
 (2.000057696568074077e+07+0.000000000000000000e+00j)  (-4.857860082379340305e+00-5.501063764336933559e+00j)
 (2.200063466224881634e+07+0.000000000000000000e+00j)  (-5.566785525626607978e+01-7.250713070312774278e+01j)
 (2.400069235881689191e+07+0.000000000000000000e+00j)  (-1.240735567272994899e+02-4.087781164613156193e+01j)
 (2.600075005538496375e+07+0.000000000000000000e+00j)  (-1.124640668983364691e+02+3.349921491779089422e+01j)
 (2.800080775195303932e+07+0.000000000000000000e+00j)  (-4.066993899694882941e+01+4.936366325126807197e+01j)
 (3.000086544852111116e+07+0.000000000000000000e+00j)  (-3.316160735320044406e+00-5.516508269457928826e+00j)
 (3.200092314508918673e+07+0.000000000000000000e+00j)  (-3.901303621343666350e+01-5.104916244802434022e+01j)
 (3.400098084165725857e+07+0.000000000000000000e+00j)  (-8.799071550094727456e+01-2.924726895028294393e+01j)
 (3.600103853822533786e+07+0.000000000000000000e+00j)  (-8.086409931740023183e+01+2.377362859577358378e+01j)
 (3.800109623479340971e+07+0.000000000000000000e+00j)  (-2.944934184405164146e+01+3.528819778511616079e+01j)
 (4.000115393136148155e+07+0.000000000000000000e+00j)  (-2.556422417332069319e+00-5.529745267236955364e+00j)
 (4.200121162792956084e+07+0.000000000000000000e+00j)  (-3.027497021068122862e+01-3.982146600549764770e+01j)
 (4.400126932449763268e+07+0.000000000000000000e+00j)  (-6.829275730683198731e+01-2.293167120304310913e+01j)
 (4.600132702106570452e+07+0.000000000000000000e+00j)  (-6.299723689472797616e+01+1.824180590671245739e+01j)
 (4.800138471763378382e+07+0.000000000000000000e+00j)  (-2.290698182896282020e+01+2.704664591326999101e+01j)
 (5.000144241420185566e+07+0.000000000000000000e+00j)  (-2.105871162873586222e+00-5.561556949909839176e+00j)
 (5.200150011076992750e+07+0.000000000000000000e+00j)  (-2.489994750467420559e+01-3.293186870539860678e+01j)
 (5.400155780733799934e+07+0.000000000000000000e+00j)  (-5.588872727978916544e+01-1.897666496853890905e+01j)
 (5.600161550390607864e+07+0.000000000000000000e+00j)  (-5.151095678113451015e+01+1.465831602304901082e+01j)
 (5.800167320047415048e+07+0.000000000000000000e+00j)  (-1.862838899359143241e+01+2.161688204800417523e+01j)
 (6.000173089704222232e+07+0.000000000000000000e+00j)  (-1.822065716247779577e+00-5.606531837708961241e+00j)
 (6.200178859361030161e+07+0.000000000000000000e+00j)  (-2.127496717493183809e+01-2.827671991625026493e+01j)
 (6.400184629017837346e+07+0.000000000000000000e+00j)  (-4.736685924332051911e+01-1.626419759284208055e+01j)
 (6.600190398674644530e+07+0.000000000000000000e+00j)  (-4.350266736110739885e+01+1.214729947958387335e+01j)
 (6.800196168331451714e+07+0.000000000000000000e+00j)  (-1.560909181341161123e+01+1.776052602774241507e+01j)
 (7.000201937988258898e+07+0.000000000000000000e+00j)  (-1.631445767452733620e+00-5.661966607722013656e+00j)
 (7.200207707645067573e+07+0.000000000000000000e+00j)  (-1.867282695417774008e+01-2.492656914330040152e+01j)
 (7.400213477301874757e+07+0.000000000000000000e+00j)  (-4.115430572889754757e+01-1.428850601617407357e+01j)
 (7.600219246958681941e+07+0.000000000000000000e+00j)  (-3.759616899547374658e+01+1.028727520206999380e+01j)
 (7.800225016615489125e+07+0.000000000000000000e+00j)  (-1.335952232824091013e+01+1.486991315403797032e+01j)
 (8.000230786272296309e+07+0.000000000000000000e+00j)  (-1.496558783586480423e+00-5.730154336061525910e+00j)
 (8.200236555929103494e+07+0.000000000000000000e+00j)  (-1.672062243889994448e+01-2.240969113178615757e+01j)
 (8.400242325585912168e+07+0.000000000000000000e+00j)  (-3.642832123975560421e+01-1.278939586247299864e+01j)
 (8.600248095242719352e+07+0.000000000000000000e+00j)  (-3.305831626361661790e+01+8.849039413052256720e+00j)
 (8.800253864899526536e+07+0.000000000000000000e+00j)  (-1.161647860827245005e+01+1.261184049214745428e+01j)
 (9.000259634556333721e+07+0.000000000000000000e+00j)  (-1.399919065277291708e+00-5.812062882694327470e+00j)
 (9.200265404213140905e+07+0.000000000000000000e+00j)  (-1.520932279308993351e+01-2.045795040941607112e+01j)
 (9.400271173869948089e+07+0.000000000000000000e+00j)  (-3.271614985961294764e+01-1.161606769140757933e+01j)
