#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-0.000000000000000000e+00-4.011917300149336825e+02j)
 (2.000057696568074171e+06+0.000000000000000000e+00j)  (-2.237733911539956750e+02-3.055183076180105672e+02j)
 (4.000115393136148341e+06+0.000000000000000000e+00j)  (-3.009418133712790109e+02-9.524199903173844461e+01j)
 (6.000173089704222977e+06+0.000000000000000000e+00j)  (-2.125101845800020897e+02+7.172947425778929187e+01j)
 (8.000230786272296682e+06+0.000000000000000000e+00j)  (-7.018074270638088308e+01+9.969287972530717923e+01j)
 (1.000028848284037039e+07+0.000000000000000000e+00j)  (4.903832444850597105e-01+2.702463055873075248e+01j)
 (1.200034617940844595e+07+0.000000000000000000e+00j)  (-2.709324724785403404e+01-3.563859224892285482e+01j)
 (1.400040387597651966e+07+0.000000000000000000e+00j)  (-8.052084730115628020e+01-2.400748145344237727e+01j)
 (1.600046157254459336e+07+0.000000000000000000e+00j)  (-8.405053513117834996e+01+2.980005369974551144e+01j)
 (1.800051926911266893e+07+0.000000000000000000e+00j)  (-3.750694488856737507e+01+5.471831381504876646e+01j)
 (2.000057696568074077e+07+0.000000000000000000e+00j)  (6.007186379953278754e-01+2.723039412782975077e+01j)
 (2.200063466224881634e+07+0.000000000000000000e+00j)  (-8.975304437252219714e+00-1.091069454261442573e+01j)
 (2.400069235881689191e+07+0.000000000000000000e+00j)  (-4.353236789541285390e+01-1.203562824876538784e+01j)
 (2.600075005538496375e+07+0.000000000000000000e+00j)  (-5.423167538906615448e+01+2.019898285285777106e+01j)
 (2.800080775195303932e+07+0.000000000000000000e+00j)  (-2.802805777793676967e+01+4.201096550739226387e+01j)
 (3.000086544852111116e+07+0.000000000000000000e+00j)  (8.510273777980125187e-01+2.747931970049742390e+01j)
 (3.200092314508918673e+07+0.000000000000000000e+00j)  (-1.902570958944654222e+00-1.533180574028779830e+00j)
 (3.400098084165725857e+07+0.000000000000000000e+00j)  (-2.807768240270483062e+01-7.108412275901340394e+00j)
 (3.600103853822533786e+07+0.000000000000000000e+00j)  (-4.088173887315070942e+01+1.593133177751169427e+01j)
 (3.800109623479340971e+07+0.000000000000000000e+00j)  (-2.348789966155716868e+01+3.610117525991385889e+01j)
 (4.000115393136148155e+07+0.000000000000000000e+00j)  (1.108074356544862082e+00+2.778297669305959516e+01j)
 (4.200121162792956084e+07+0.000000000000000000e+00j)  (2.016849934605311034e+00+3.493855887210262523e+00j)
 (4.400126932449763268e+07+0.000000000000000000e+00j)  (-1.947889825544332965e+01-4.409680124298149373e+00j)
 (4.600132702106570452e+07+0.000000000000000000e+00j)  (-3.328923446090058036e+01+1.354090547763026819e+01j)
 (4.800138471763378382e+07+0.000000000000000000e+00j)  (-2.082484450825094058e+01+3.279647881971642676e+01j)
 (5.000144241420185566e+07+0.000000000000000000e+00j)  (1.381857012413037156e+00+2.817507095482412183e+01j)
 (5.200150011076992750e+07+0.000000000000000000e+00j)  (4.644393776789034867e+00+6.712639330003314697e+00j)
