#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-2.156256410673422844e-02+0.000000000000000000e+00j)
 (1.002251589228209807e+06+0.000000000000000000e+00j)  (6.906727022520285642e-02+7.402695480950194362e-01j)
 (2.004503178456419613e+06+0.000000000000000000e+00j)  (2.323626267822706537e-01+1.346740660940563661e+00j)
 (3.006754767684629187e+06+0.000000000000000000e+00j)  (3.500871037509313277e-01+1.884599865346381353e+00j)
 (4.009006356912839226e+06+0.000000000000000000e+00j)  (4.572129221348820716e-01+2.425498538753128486e+00j)
 (5.011257946141049266e+06+0.000000000000000000e+00j)  (5.780758247959359997e-01+2.941831241449226031e+00j)
 (6.013509535369258374e+06+0.000000000000000000e+00j)  (6.839070185058473417e-01+3.436978929950626149e+00j)
 (7.015761124597468413e+06+0.000000000000000000e+00j)  (7.883453933800145252e-01+3.934098171407389710e+00j)
 (8.018012713825678453e+06+0.000000000000000000e+00j)  (9.018339702269798641e-01+4.415927627067861572e+00j)
 (9.020264303053887561e+06+0.000000000000000000e+00j)  (1.006221091539959422e+00+4.883680000577975022e+00j)
 (1.002251589228209853e+07+0.000000000000000000e+00j)  (1.109482818414534000e+00+5.351623170593921230e+00j)
 (1.102476748151030764e+07+0.000000000000000000e+00j)  (1.217899631155170415e+00+5.808200099381204851e+00j)
 (1.202701907073851675e+07+0.000000000000000000e+00j)  (1.318649405374997086e+00+6.254862746334712398e+00j)
 (1.302927065996672772e+07+0.000000000000000000e+00j)  (1.418037370560857324e+00+6.702041443495481587e+00j)
 (1.403152224919493683e+07+0.000000000000000000e+00j)  (1.520818614586453954e+00+7.140831022096900682e+00j)
 (1.503377383842314780e+07+0.000000000000000000e+00j)  (1.617232261645726643e+00+7.572456221712792868e+00j)
 (1.603602542765135691e+07+0.000000000000000000e+00j)  (1.712540765527978515e+00+8.004917279321682955e+00j)
 (1.703827701687956601e+07+0.000000000000000000e+00j)  (1.810468077342719084e+00+8.430829018098627614e+00j)
 (1.804052860610777512e+07+0.000000000000000000e+00j)  (1.903076961660635114e+00+8.851240005353879781e+00j)
 (1.904278019533598796e+07+0.000000000000000000e+00j)  (1.994853697146793170e+00+9.272586743684277266e+00j)
 (2.004503178456419706e+07+0.000000000000000000e+00j)  (2.088776279455861307e+00+9.688551643160389304e+00j)
 (2.104728337379240617e+07+0.000000000000000000e+00j)  (2.178134577734673005e+00+1.010010010265678737e+01j)
 (2.204953496302061528e+07+0.000000000000000000e+00j)  (2.266847545776765394e+00+1.051260572461170639e+01j)
 (2.305178655224882439e+07+0.000000000000000000e+00j)  (2.357354477201811349e+00+1.092055436068330643e+01j)
 (2.405403814147703350e+07+0.000000000000000000e+00j)  (2.443847395507376064e+00+1.132487273889151069e+01j)
 (2.505628973070524633e+07+0.000000000000000000e+00j)  (2.529826297403795277e+00+1.173016197914984460e+01j)
 (2.605854131993345544e+07+0.000000000000000000e+00j)  (2.617331617426193358e+00+1.213152855912764849e+01j)
 (2.706079290916166455e+07+0.000000000000000000e+00j)  (2.701252435149198661e+00+1.252987651395471502e+01j)
 (2.806304449838987365e+07+0.000000000000000000e+00j)  (2.784769043586949877e+00+1.292921448927074124e+01j)
 (2.906529608761808276e+07+0.000000000000000000e+00j)  (2.869615307153139394e+00+1.332513808337272820e+01j)
 (3.006754767684629560e+07+0.000000000000000000e+00j)  (2.951234773616563611e+00+1.371853358924095367e+01j)
 (3.106979926607450470e+07+0.000000000000000000e+00j)  (3.032554003200198967e+00+1.411293777823540196e+01j)
