#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-0.000000000000000000e+00-4.356726192302076583e+02j)
 (1.002251589228209807e+06+0.000000000000000000e+00j)  (-1.858220523170261913e+02-3.345642266455636786e+02j)
 (2.004503178456419613e+06+0.000000000000000000e+00j)  (-2.016663112636273638e+02-1.771459653338746705e+02j)
 (3.006754767684629187e+06+0.000000000000000000e+00j)  (-1.474416165009122039e+02-1.173919867269936788e+02j)
 (4.009006356912839226e+06+0.000000000000000000e+00j)  (-1.269917055701569240e+02-9.638920613623463396e+01j)
 (5.011257946141049266e+06+0.000000000000000000e+00j)  (-1.027606011909527552e+02-6.975677710405676635e+01j)
 (6.013509535369258374e+06+0.000000000000000000e+00j)  (-7.519927729159931573e+01-6.857992072855914500e+01j)
 (7.015761124597468413e+06+0.000000000000000000e+00j)  (-7.032293479437393557e+01-7.055598538789489282e+01j)
 (8.018012713825678453e+06+0.000000000000000000e+00j)  (-6.103303481781848205e+01-6.098767581393754256e+01j)
 (9.020264303053887561e+06+0.000000000000000000e+00j)  (-4.764840820746070449e+01-6.382554963892047795e+01j)
 (1.002251589228209853e+07+0.000000000000000000e+00j)  (-4.769383458163301981e+01-6.662921248577843869e+01j)
 (1.102476748151030764e+07+0.000000000000000000e+00j)  (-4.314865349182074539e+01-6.059376665336609591e+01j)
 (1.202701907073851675e+07+0.000000000000000000e+00j)  (-3.498548750638499172e+01-6.329831556003105675e+01j)
 (1.302927065996672772e+07+0.000000000000000000e+00j)  (-3.633602216718801969e+01-6.555427475756989963e+01j)
 (1.403152224919493683e+07+0.000000000000000000e+00j)  (-3.360070806060394943e+01-6.099497514133992127e+01j)
 (1.503377383842314780e+07+0.000000000000000000e+00j)  (-2.790060200110445265e+01-6.332960886881848239e+01j)
 (1.603602542765135691e+07+0.000000000000000000e+00j)  (-2.961570165131301025e+01-6.511558876500114934e+01j)
 (1.703827701687956601e+07+0.000000000000000000e+00j)  (-2.774823564945473464e+01-6.141821231376094659e+01j)
 (1.804052860610777512e+07+0.000000000000000000e+00j)  (-2.345026198609026480e+01-6.344475744266993189e+01j)
 (1.904278019533598796e+07+0.000000000000000000e+00j)  (-2.524281144040547886e+01-6.488099307853970288e+01j)
 (2.004503178456419706e+07+0.000000000000000000e+00j)  (-2.385808137429166464e+01-6.175654554719698552e+01j)
 (2.104728337379240617e+07+0.000000000000000000e+00j)  (-2.045351474137160253e+01-6.353941560150356338e+01j)
 (2.204953496302061528e+07+0.000000000000000000e+00j)  (-2.221907941151338051e+01-6.471066973042523784e+01j)
 (2.305178655224882439e+07+0.000000000000000000e+00j)  (-2.112696959041148048e+01-6.199661098075132060e+01j)
 (2.405403814147703350e+07+0.000000000000000000e+00j)  (-1.833395672752003236e+01-6.358632423928601440e+01j)
 (2.505628973070524633e+07+0.000000000000000000e+00j)  (-2.003185063120119835e+01-6.455264851392610126e+01j)
 (2.605854131993345544e+07+0.000000000000000000e+00j)  (-1.912749800010896806e+01-6.214930485076482114e+01j)
 (2.706079290916166455e+07+0.000000000000000000e+00j)  (-1.677543536637078248e+01-6.358478431959590438e+01j)
 (2.806304449838987365e+07+0.000000000000000000e+00j)  (-1.839136279102318028e+01-6.438995211301165966e+01j)
 (2.906529608761808276e+07+0.000000000000000000e+00j)  (-1.761293350482702280e+01-6.223199836939517127e+01j)
 (3.006754767684629560e+07+0.000000000000000000e+00j)  (-1.559210571867098771e+01-6.354310250530984661e+01j)
 (3.106979926607450470e+07+0.000000000000000000e+00j)  (-1.712362474190894801e+01-6.421954515695291832e+01j)
 (3.207205085530271381e+07+0.000000000000000000e+00j)  (-1.643289128992761761e+01-6.226161524066322528e+01j)
 (3.307430244453092292e+07+0.000000000000000000e+00j)  (-1.466930675597165035e+01-6.347122352447708238e+01j)
 (3.407655403375913203e+07+0.000000000000000000e+00j)  (-1.611929451771734279e+01-6.404331170632951853e+01j)
 (3.507880562298734486e+07+0.000000000000000000e+00j)  (-1.549172927410388745e+01-6.225241746359993300e+01j)
 (3.608105721221555024e+07+0.000000000000000000e+00j)  (-1.393357009633593435e+01-6.337814909682725784e+01j)
 (3.708330880144376308e+07+0.000000000000000000e+00j)  (-1.530719712109995179e+01-6.386438904689331508e+01j)
 (3.808556039067197591e+07+0.000000000000000000e+00j)  (-1.472656235549994896e+01-6.221554718433261399e+01j)
 (3.908781197990018129e+07+0.000000000000000000e+00j)  (-1.333630338645334135e+01-6.327102021986095792e+01j)
 (4.009006356912839413e+07+0.000000000000000000e+00j)  (-1.463946711688528346e+01-6.368562197415290882e+01j)
 (4.109231515835659951e+07+0.000000000000000000e+00j)  (-1.409466957076294946e+01-6.215933574712917675e+01j)
 (4.209456674758481234e+07+0.000000000000000000e+00j)  (-1.284434502502692332e+01-6.315519766141434133e+01j)
 (4.309681833681302518e+07+0.000000000000000000e+00j)  (-1.408296265755101295e+01-6.350921948562911723e+01j)
 (4.409906992604123056e+07+0.000000000000000000e+00j)  (-1.356623429374964651e+01-6.208988152810869110e+01j)
 (4.510132151526944339e+07+0.000000000000000000e+00j)  (-1.243446908955756136e+01-6.303451516916582875e+01j)
 (4.610357310449764878e+07+0.000000000000000000e+00j)  (-1.361410449501769193e+01-6.333666002313245968e+01j)
 (4.710582469372586161e+07+0.000000000000000000e+00j)  (-1.311984635500087215e+01-6.201154702716527112e+01j)
 (4.810807628295406699e+07+0.000000000000000000e+00j)  (-1.208994087616953550e+01-6.291164696948354162e+01j)
