#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (0.000000000000000000e+00+1.151000531140159637e+03j)
 (1.002251589228209807e+06+0.000000000000000000e+00j)  (6.988500163188981560e+02+7.721307741732385921e+02j)
 (2.004503178456419613e+06+0.000000000000000000e+00j)  (7.614064827085334173e+02+1.540553274220189621e+02j)
 (3.006754767684629187e+06+0.000000000000000000e+00j)  (5.092941522033588058e+02-1.025287053681251024e+02j)
 (4.009006356912839226e+06+0.000000000000000000e+00j)  (3.718200970527203140e+02-1.504724718204390683e+02j)
 (5.011257946141049266e+06+0.000000000000000000e+00j)  (2.770148615616224106e+02-2.033894955232528048e+02j)
 (6.013509535369258374e+06+0.000000000000000000e+00j)  (1.790438988272836411e+02-1.994132269153756454e+02j)
 (7.015761124597468413e+06+0.000000000000000000e+00j)  (1.447643181853619581e+02-1.775478044776586728e+02j)
 (8.018012713825678453e+06+0.000000000000000000e+00j)  (1.125758425716849871e+02-1.873837755736131783e+02j)
 (9.020264303053887561e+06+0.000000000000000000e+00j)  (7.006478518878824957e+01-1.714867818689199623e+02j)
 (1.002251589228209853e+07+0.000000000000000000e+00j)  (6.245300059374329749e+01-1.524074736395038485e+02j)
 (1.102476748151030764e+07+0.000000000000000000e+00j)  (4.906451332750869199e+01-1.572025298215624787e+02j)
 (1.202701907073851675e+07+0.000000000000000000e+00j)  (2.609941392399651150e+01-1.436511099949417201e+02j)
 (1.302927065996672772e+07+0.000000000000000000e+00j)  (2.692532934096812980e+01-1.297093492502807521e+02j)
 (1.403152224919493683e+07+0.000000000000000000e+00j)  (2.059618927825766121e+01-1.339132116191282194e+02j)
 (1.503377383842314780e+07+0.000000000000000000e+00j)  (6.236075384223547680e+00-1.233357886330485940e+02j)
 (1.603602542765135691e+07+0.000000000000000000e+00j)  (9.968014620190325914e+00-1.132027797031506822e+02j)
 (1.703827701687956601e+07+0.000000000000000000e+00j)  (6.609811887207054149e+00-1.174201415058876989e+02j)
 (1.804052860610777512e+07+0.000000000000000000e+00j)  (-3.394744958074272123e+00-1.090946911246271753e+02j)
 (1.904278019533598796e+07+0.000000000000000000e+00j)  (1.260482840975044372e+00-1.015508250648088193e+02j)
 (2.004503178456419706e+07+0.000000000000000000e+00j)  (-7.536296308743922756e-01-1.057548264479204221e+02j)
 (2.104728337379240617e+07+0.000000000000000000e+00j)  (-8.293482171902192945e+00-9.901350045556361579e+01j)
 (2.204953496302061528e+07+0.000000000000000000e+00j)  (-3.471766816604732409e+00-9.323206412909725316e+01j)
 (2.305178655224882439e+07+0.000000000000000000e+00j)  (-4.843932867735760261e+00-9.733306052735345304e+01j)
 (2.405403814147703350e+07+0.000000000000000000e+00j)  (-1.085220591818096025e+01-9.170758353101624039e+01j)
 (2.505628973070524633e+07+0.000000000000000000e+00j)  (-6.155629793432503938e+00-8.715632312633435674e+01j)
 (2.605854131993345544e+07+0.000000000000000000e+00j)  (-7.209179891271500829e+00-9.109438442302004546e+01j)
 (2.706079290916166455e+07+0.000000000000000000e+00j)  (-1.218955014128232683e+01-8.627290270787804616e+01j)
 (2.806304449838987365e+07+0.000000000000000000e+00j)  (-7.723549724160422514e+00-8.260736653016834907e+01j)
 (2.906529608761808276e+07+0.000000000000000000e+00j)  (-8.615745741887414155e+00-8.635365974444167136e+01j)
 (3.006754767684629560e+07+0.000000000000000000e+00j)  (-1.286215954691200736e+01-8.212784311908002621e+01j)
 (3.106979926607450470e+07+0.000000000000000000e+00j)  (-8.655240795291106792e+00-7.911983015012752674e+01j)
 (3.207205085530271381e+07+0.000000000000000000e+00j)  (-9.465956308644972950e+00-8.266577830050715647e+01j)
 (3.307430244453092292e+07+0.000000000000000000e+00j)  (-1.316180376611952951e+01-7.889370844692027163e+01j)
 (3.407655403375913203e+07+0.000000000000000000e+00j)  (-9.210688074385133817e+00-7.638775935370148318e+01j)
 (3.507880562298734486e+07+0.000000000000000000e+00j)  (-9.981902579836717138e+00-7.973626323006607208e+01j)
 (3.608105721221555024e+07+0.000000000000000000e+00j)  (-1.324833866950562111e+01-7.631882061369122994e+01j)
 (3.708330880144376308e+07+0.000000000000000000e+00j)  (-9.537340084024590325e+00-7.420594722469830629e+01j)
 (3.808556039067197591e+07+0.000000000000000000e+00j)  (-1.029164266769957514e+01-7.736576829205201022e+01j)
 (3.908781197990018129e+07+0.000000000000000000e+00j)  (-1.321264354205110259e+01-7.423191431534381479e+01j)
 (4.009006356912839413e+07+0.000000000000000000e+00j)  (-9.722118376450760380e+00-7.243360355872526668e+01j)
 (4.109231515835659951e+07+0.000000000000000000e+00j)  (-1.047180534699344534e+01-7.541609808665425874e+01j)
 (4.209456674758481234e+07+0.000000000000000000e+00j)  (-1.310794837073992625e+01-7.251363218500812025e+01j)
 (4.309681833681302518e+07+0.000000000000000000e+00j)  (-9.817934026091776900e+00-7.097189593919085837e+01j)
 (4.409906992604123056e+07+0.000000000000000000e+00j)  (-1.056965246134358516e+01-7.378923213631250633e+01j)
 (4.510132151526944339e+07+0.000000000000000000e+00j)  (-1.296611964833471653e+01-7.107892595438531202e+01j)
 (4.610357310449764878e+07+0.000000000000000000e+00j)  (-9.857861348659282541e+00-6.974996733389879466e+01j)
 (4.710582469372586161e+07+0.000000000000000000e+00j)  (-1.061509486548442638e+01-7.241416458946316936e+01j)
 (4.810807628295406699e+07+0.000000000000000000e+00j)  (-1.280653295021277671e+01-6.986591514961766336e+01j)
 (4.911032787218227983e+07+0.000000000000000000e+00j)  (-9.863003609595248022e+00-6.871598431770578941e+01j)
 (5.011257946141049266e+07+0.000000000000000000e+00j)  (-1.062741828625732765e+01-7.123845788014767777e+01j)
 (5.111483105063869804e+07+0.000000000000000000e+00j)  (-1.264103258812203912e+01-6.882875764783982220e+01j)
 (5.211708263986691087e+07+0.000000000000000000e+00j)  (-9.847059903356571553e+00-6.783138552294356316e+01j)
 (5.311933422909511626e+07+0.000000000000000000e+00j)  (-1.061929556977728062e+01-7.022271984846425141e+01j)
 (5.412158581832332909e+07+0.000000000000000000e+00j)  (-1.247688070971220853e+01-6.793288594591960816e+01j)
 (5.512383740755154192e+07+0.000000000000000000e+00j)  (-9.819039098218166117e+00-6.706696334937043957e+01j)
 (5.612608899677974731e+07+0.000000000000000000e+00j)  (-1.059913044660959969e+01-6.933684387224084844e+01j)
 (5.712834058600796014e+07+0.000000000000000000e+00j)  (-1.231843083201726330e+01-6.715181213076375855e+01j)
