#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.997924580000000596e+08+0.000000000000000000e+00j)
 (1.002251589228209807e+06+0.000000000000000000e+00j)  (2.997434603973407745e+08-5.383238767080616206e+06j)
 (2.004503178456419613e+06+0.000000000000000000e+00j)  (2.995964844644165039e+08-1.076467038038785383e+07j)
 (3.006754767684629187e+06+0.000000000000000000e+00j)  (2.993515808202869296e+08-1.614248832407375425e+07j)
 (4.009006356912839226e+06+0.000000000000000000e+00j)  (2.990088338097202182e+08-2.151488735790528357e+07j)
 (5.011257946141049266e+06+0.000000000000000000e+00j)  (2.985683614727026820e+08-2.688006415448193252e+07j)
 (6.013509535369258374e+06+0.000000000000000000e+00j)  (2.980303155017698407e+08-3.223621793574583158e+07j)
 (7.015761124597468413e+06+0.000000000000000000e+00j)  (2.973948811871731281e+08-3.758155110854891688e+07j)
 (8.018012713825678453e+06+0.000000000000000000e+00j)  (2.966622773499047160e+08-4.291426989904209226e+07j)
 (9.020264303053887561e+06+0.000000000000000000e+00j)  (2.958327562626035213e+08-4.823258498565178365e+07j)
 (1.002251589228209853e+07+0.000000000000000000e+00j)  (2.949066035583745241e+08-5.353471213040988147e+07j)
 (1.102476748151030764e+07+0.000000000000000000e+00j)  (2.938841381275550127e+08-5.881887280840358883e+07j)
 (1.202701907073851675e+07+0.000000000000000000e+00j)  (2.927657120024659634e+08-6.408329483511251211e+07j)
 (1.302927065996672772e+07+0.000000000000000000e+00j)  (2.915517102301940322e+08-6.932621299140118062e+07j)
 (1.403152224919493683e+07+0.000000000000000000e+00j)  (2.902425507334498167e+08-7.454586964593589306e+07j)
 (1.503377383842314780e+07+0.000000000000000000e+00j)  (2.888386841595574617e+08-7.974051537479603291e+07j)
 (1.603602542765135691e+07+0.000000000000000000e+00j)  (2.873405937176309228e+08-8.490840957805107534e+07j)
 (1.703827701687956601e+07+0.000000000000000000e+00j)  (2.857487950039997101e+08-9.004782109307505190e+07j)
 (1.804052860610777512e+07+0.000000000000000000e+00j)  (2.840638358159476519e+08-9.515702880437286198e+07j)
 (1.904278019533598796e+07+0.000000000000000000e+00j)  (2.822862959538400769e+08-1.002343222496925294e+08j)
 (2.004503178456419706e+07+0.000000000000000000e+00j)  (2.804167870117071867e+08-1.052780022222000659e+08j)
 (2.104728337379240617e+07+0.000000000000000000e+00j)  (2.784559521563704014e+08-1.102863813684949428e+08j)
 (2.204953496302061528e+07+0.000000000000000000e+00j)  (2.764044658951874971e+08-1.152577847822453827e+08j)
 (2.305178655224882439e+07+0.000000000000000000e+00j)  (2.742630338325113654e+08-1.201905505932244807e+08j)
 (2.405403814147703350e+07+0.000000000000000000e+00j)  (2.720323924149491787e+08-1.250830305515306741e+08j)
 (2.505628973070524633e+07+0.000000000000000000e+00j)  (2.697133086655205488e+08-1.299335906067764461e+08j)
 (2.605854131993345544e+07+0.000000000000000000e+00j)  (2.673065799068149328e+08-1.347406114820329249e+08j)
 (2.706079290916166455e+07+0.000000000000000000e+00j)  (2.648130334732524455e+08-1.395024892423185706e+08j)
 (2.806304449838987365e+07+0.000000000000000000e+00j)  (2.622335264125565290e+08-1.442176358574223518e+08j)
 (2.906529608761808276e+07+0.000000000000000000e+00j)  (2.595689451765518785e+08-1.488844797588559687e+08j)
 (3.006754767684629560e+07+0.000000000000000000e+00j)  (2.568202053014036417e+08-1.535014663907284737e+08j)
 (3.106979926607450470e+07+0.000000000000000000e+00j)  (2.539882510774188936e+08-1.580670587543425858e+08j)
 (3.207205085530271381e+07+0.000000000000000000e+00j)  (2.510740552085351944e+08-1.625797379463116229e+08j)
 (3.307430244453092292e+07+0.000000000000000000e+00j)  (2.480786184616242945e+08-1.670380036900003552e+08j)
 (3.407655403375913203e+07+0.000000000000000000e+00j)  (2.450029693057432175e+08-1.714403748600944281e+08j)
 (3.507880562298734486e+07+0.000000000000000000e+00j)  (2.418481635414696038e+08-1.757853900001064241e+08j)
 (3.608105721221555024e+07+0.000000000000000000e+00j)  (2.386152839204598963e+08-1.800716078326287568e+08j)
 (3.708330880144376308e+07+0.000000000000000000e+00j)  (2.353054397553746104e+08-1.842976077621473670e+08j)
 (3.808556039067197591e+07+0.000000000000000000e+00j)  (2.319197665203178823e+08-1.884619903702313602e+08j)
 (3.908781197990018129e+07+0.000000000000000000e+00j)  (2.284594254419405460e+08-1.925633779029185176e+08j)
 (4.009006356912839413e+07+0.000000000000000000e+00j)  (2.249256030813628733e+08-1.966004147501188815e+08j)
 (4.109231515835659951e+07+0.000000000000000000e+00j)  (2.213195109070728719e+08-2.005717679168601632e+08j)
 (4.209456674758481234e+07+0.000000000000000000e+00j)  (2.176423848589609265e+08-2.044761274862056971e+08j)
 (4.309681833681302518e+07+0.000000000000000000e+00j)  (2.138954849036566317e+08-2.083122070736739039e+08j)
 (4.409906992604123056e+07+0.000000000000000000e+00j)  (2.100800945813331902e+08-2.120787442729962170e+08j)
 (4.510132151526944339e+07+0.000000000000000000e+00j)  (2.061975205441509485e+08-2.157745010930499732e+08j)
 (4.610357310449764878e+07+0.000000000000000000e+00j)  (2.022490920865139067e+08-2.193982643858086169e+08j)
 (4.710582469372586161e+07+0.000000000000000000e+00j)  (1.982361606673153043e+08-2.229488462651545703e+08j)
 (4.810807628295406699e+07+0.000000000000000000e+00j)  (1.941600994243523479e+08-2.264250845164014995e+08j)
 (4.911032787218227983e+07+0.000000000000000000e+00j)  (1.900223026810925603e+08-2.298258429963804483e+08j)
