#    f [Hz]                    Z [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.987136534999264370e+01-0.000000000000000000e+00j)
 (1.997879154911480378e+06+0.000000000000000000e+00j)  (2.519258049402655786e+01-5.975333813297151409e+00j)
 (3.995758309822960757e+06+0.000000000000000000e+00j)  (1.785683380849305024e+01-2.971742658583652830e+00j)
 (5.993637464734440669e+06+0.000000000000000000e+00j)  (1.838883733246471408e+01+5.139715661634431498e+00j)
 (7.991516619645921513e+06+0.000000000000000000e+00j)  (2.607423093623225441e+01+7.147401075490700251e+00j)
 (9.989395774557402357e+06+0.000000000000000000e+00j)  (2.993434756498259475e+01+5.339510335014203690e-01j)
 (1.198727492946888134e+07+0.000000000000000000e+00j)  (2.440677740525754658e+01-4.863440946255818353e+00j)
 (1.398515408438036218e+07+0.000000000000000000e+00j)  (1.736382890212733443e+01-8.738291896545337112e-01j)
 (1.598303323929184303e+07+0.000000000000000000e+00j)  (1.893166874657862309e+01+7.266301560866871512e+00j)
 (1.798091239420332387e+07+0.000000000000000000e+00j)  (2.697319863727761202e+01+8.295301482170094332e+00j)
 (1.997879154911480471e+07+0.000000000000000000e+00j)  (3.001456897157486736e+01+1.033889960279128495e+00j)
 (2.197667070402628556e+07+0.000000000000000000e+00j)  (2.361132355101697300e+01-3.787178686369783609e+00j)
 (2.397454985893776268e+07+0.000000000000000000e+00j)  (1.684012128762623917e+01+1.220650937729508057e+00j)
 (2.597242901384924352e+07+0.000000000000000000e+00j)  (1.946282527693439235e+01+9.426248308476946391e+00j)
 (2.797030816876072437e+07+0.000000000000000000e+00j)  (2.789837551033651053e+01+9.473814874525366747e+00j)
 (2.996818732367220521e+07+0.000000000000000000e+00j)  (3.012632371370937889e+01+1.530464322744865990e+00j)
 (3.196606647858368605e+07+0.000000000000000000e+00j)  (2.281297274009462939e+01-2.725776577988662019e+00j)
 (3.396394563349516690e+07+0.000000000000000000e+00j)  (1.629022944161182451e+01+3.334039168013180010e+00j)
 (3.596182478840664774e+07+0.000000000000000000e+00j)  (1.999268451305798067e+01+1.164037676955608624e+01j)
 (3.795970394331812859e+07+0.000000000000000000e+00j)  (2.886247568071670244e+01+1.069411028884954185e+01j)
 (3.995758309822960943e+07+0.000000000000000000e+00j)  (3.027423578056042786e+01+2.027241855511122903e+00j)
 (4.195546225314109027e+07+0.000000000000000000e+00j)  (2.200645892411180427e+01-1.671592660937736285e+00j)
 (4.395334140805257112e+07+0.000000000000000000e+00j)  (1.570962490357497110e+01+5.484041891734509733e+00j)
 (4.595122056296405196e+07+0.000000000000000000e+00j)  (2.052661596692304613e+01+1.392833447463863727e+01j)
 (4.794909971787552536e+07+0.000000000000000000e+00j)  (2.987575162277924790e+01+1.196643375937749809e+01j)
 (4.994697887278700620e+07+0.000000000000000000e+00j)  (3.046071871456096147e+01+2.526419326363279261e+00j)
