#    f [Hz]                    Zx [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (-0.000000000000000000e+00-9.384672746398139225e+02j)
 (1.997879154911480378e+06+0.000000000000000000e+00j)  (-5.110995206419764258e+02-7.132585034935189015e+02j)
 (3.995758309822960757e+06+0.000000000000000000e+00j)  (-6.713929411529509252e+02-2.267084338561042784e+02j)
 (5.993637464734440669e+06+0.000000000000000000e+00j)  (-4.490751442335926527e+02+1.403789506353275840e+02j)
 (7.991516619645921513e+06+0.000000000000000000e+00j)  (-1.247636689791821709e+02+1.758479544245842021e+02j)
 (9.989395774557402357e+06+0.000000000000000000e+00j)  (1.221712560853595519e+01-3.726017626116191472e+00j)
 (1.198727492946888134e+07+0.000000000000000000e+00j)  (-7.111148103983455826e+01-1.322164751421730102e+02j)
 (1.398515408438036218e+07+0.000000000000000000e+00j)  (-1.863215454865092795e+02-8.446634796090494035e+01j)
 (1.598303323929184303e+07+0.000000000000000000e+00j)  (-1.727886797595384110e+02+3.698931569454463641e+01j)
 (1.798091239420332387e+07+0.000000000000000000e+00j)  (-6.146973590160341416e+01+7.181281557711962193e+01j)
 (1.997879154911480471e+07+0.000000000000000000e+00j)  (5.924385810904703398e+00-3.622554178176571771e+00j)
 (2.197667070402628556e+07+0.000000000000000000e+00j)  (-3.431918641480458376e+01-7.692535874508618576e+01j)
 (2.397454985893776268e+07+0.000000000000000000e+00j)  (-1.060931105501968403e+02-5.852324219049071274e+01j)
 (2.597242901384924352e+07+0.000000000000000000e+00j)  (-1.086157478117043667e+02+1.415016685877907321e+01j)
 (2.797030816876072437e+07+0.000000000000000000e+00j)  (-4.308654595983923485e+01+4.225345893988252044e+01j)
 (2.996818732367220521e+07+0.000000000000000000e+00j)  (3.781377080124758372e+00-3.591600557534312177e+00j)
 (3.196606647858368605e+07+0.000000000000000000e+00j)  (-2.063827210669886725e+01-5.607220670511696170e+01j)
 (3.396394563349516690e+07+0.000000000000000000e+00j)  (-7.305554266655948936e+01-4.770320722823706205e+01j)
 (3.596182478840664774e+07+0.000000000000000000e+00j)  (-8.003948957332784175e+01+4.026677219455423007e+00j)
 (3.795970394331812859e+07+0.000000000000000000e+00j)  (-3.438582911459005231e+01+2.821243563521672826e+01j)
 (3.995758309822960943e+07+0.000000000000000000e+00j)  (2.657119040768833873e+00-3.578530477982143854e+00j)
 (4.195546225314109027e+07+0.000000000000000000e+00j)  (-1.348316604274777220e+01-4.511279919925731008e+01j)
 (4.395334140805257112e+07+0.000000000000000000e+00j)  (-5.499222210343607742e+01-4.180319298745107659e+01j)
 (4.595122056296405196e+07+0.000000000000000000e+00j)  (-6.386180404350064777e+01-1.759470063572559306e+00j)
 (4.794909971787552536e+07+0.000000000000000000e+00j)  (-2.933961555217725348e+01+1.995710871356049054e+01j)
 (4.994697887278700620e+07+0.000000000000000000e+00j)  (1.947192960927342176e+00-3.587043450742408712e+00j)
 (5.194485802769848704e+07+0.000000000000000000e+00j)  (-9.065741040338126666e+00-3.837250264549177103e+01j)
 (5.394273718260996789e+07+0.000000000000000000e+00j)  (-4.357859101908063337e+01-3.814155687083307811e+01j)
 (5.594061633752144873e+07+0.000000000000000000e+00j)  (-5.346209554743965242e+01-5.572508559381611271e+00j)
