#    f [Hz]                    Zy [Ohm]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (0.000000000000000000e+00+8.186490195337342811e+03j)
 (1.997879154911480378e+06+0.000000000000000000e+00j)  (4.507968449408692322e+03+6.192464083276071506e+03j)
 (3.995758309822960757e+06+0.000000000000000000e+00j)  (5.899405836278201605e+03+1.906507003603291878e+03j)
 (5.993637464734440669e+06+0.000000000000000000e+00j)  (3.933613503590741857e+03-1.283776962021212512e+03j)
 (7.991516619645921513e+06+0.000000000000000000e+00j)  (1.135142791446433193e+03-1.553198477253575675e+03j)
 (9.989395774557402357e+06+0.000000000000000000e+00j)  (1.877920070933402741e+01-8.547659358000986529e+00j)
 (1.198727492946888134e+07+0.000000000000000000e+00j)  (7.709197842333441031e+02+1.011187502270754408e+03j)
 (1.398515408438036218e+07+0.000000000000000000e+00j)  (1.693422690197933434e+03+5.163788547680062493e+02j)
 (1.598303323929184303e+07+0.000000000000000000e+00j)  (1.470051177137831473e+03-5.040893788429299320e+02j)
 (1.798091239420332387e+07+0.000000000000000000e+00j)  (4.970560031948065216e+02-7.006262670833506263e+02j)
 (1.997879154911480471e+07+0.000000000000000000e+00j)  (9.297744420306193192e+00-8.029535558553801522e+00j)
 (2.197667070402628556e+07+0.000000000000000000e+00j)  (4.268139104101274484e+02+5.444772311631323873e+02j)
 (2.397454985893776268e+07+0.000000000000000000e+00j)  (9.923625988326481320e+02+2.883544355016362601e+02j)
 (2.597242901384924352e+07+0.000000000000000000e+00j)  (9.029684575463753617e+02-3.228034711504480470e+02j)
 (2.797030816876072437e+07+0.000000000000000000e+00j)  (3.156276356902909583e+02-4.571175719262454322e+02j)
 (2.996818732367220521e+07+0.000000000000000000e+00j)  (6.276529410958082700e+00-7.983376491559517341e+00j)
 (3.196606647858368605e+07+0.000000000000000000e+00j)  (2.979235117634728454e+02+3.697142169951306983e+02j)
 (3.396394563349516690e+07+0.000000000000000000e+00j)  (7.042114844772820561e+02+1.946503263259281482e+02j)
 (3.596182478840664774e+07+0.000000000000000000e+00j)  (6.514912269264551696e+02-2.424415756045113142e+02j)
 (3.795970394331812859e+07+0.000000000000000000e+00j)  (2.299266088542167097e+02-3.421390525115464811e+02j)
 (3.995758309822960943e+07+0.000000000000000000e+00j)  (4.812987769813834582e+00-8.112912223175996473e+00j)
 (4.195546225314109027e+07+0.000000000000000000e+00j)  (2.306202073091140505e+02+2.782036832677238181e+02j)
 (4.395334140805257112e+07+0.000000000000000000e+00j)  (5.474587408402685469e+02+1.434287409659257264e+02j)
 (4.595122056296405196e+07+0.000000000000000000e+00j)  (5.096857744677257642e+02-1.973878922007223196e+02j)
 (4.794909971787552536e+07+0.000000000000000000e+00j)  (1.799961374171385273e+02-2.754409726047505842e+02j)
 (4.994697887278700620e+07+0.000000000000000000e+00j)  (3.913789459261641124e+00-8.322872836307883659e+00j)
 (5.194485802769848704e+07+0.000000000000000000e+00j)  (1.893812993499486197e+02+2.218887205956280297e+02j)
 (5.394273718260996789e+07+0.000000000000000000e+00j)  (4.491166990726699737e+02+1.110140027678969261e+02j)
 (5.594061633752144873e+07+0.000000000000000000e+00j)  (4.187705171167061735e+02-1.688114421466653141e+02j)
 (5.793849549243292958e+07+0.000000000000000000e+00j)  (1.472832788830098707e+02-2.320990772487458571e+02j)
 (5.993637464734441042e+07+0.000000000000000000e+00j)  (3.268616263540049527e+00-8.588244929599012423e+00j)
 (6.193425380225589126e+07+0.000000000000000000e+00j)  (1.616014066772937667e+02+1.837161341973837239e+02j)
 (6.393213295716737211e+07+0.000000000000000000e+00j)  (3.818128574515915830e+02+8.853556779969945012e+01j)
 (6.593001211207885295e+07+0.000000000000000000e+00j)  (3.555894540204148484e+02-1.492857940180077492e+02j)
 (6.792789126699033380e+07+0.000000000000000000e+00j)  (1.241478582977474474e+02-2.018421979554305494e+02j)
 (6.992577042190180719e+07+0.000000000000000000e+00j)  (2.745291008787814846e+00-8.885891341614280847e+00j)
 (7.192364957681329548e+07+0.000000000000000000e+00j)  (1.416869669884235066e+02+1.561203355609905259e+02j)
 (7.392152873172476888e+07+0.000000000000000000e+00j)  (3.329865718656334366e+02+7.192397904008635123e+01j)
 (7.591940788663625717e+07+0.000000000000000000e+00j)  (3.091879235599251388e+02-1.352969444835962065e+02j)
 (7.791728704154773057e+07+0.000000000000000000e+00j)  (1.068739896135286500e+02-1.796729344202664720e+02j)
 (7.991516619645921886e+07+0.000000000000000000e+00j)  (2.280629384021060524e+00-9.206116982781669122e+00j)
 (8.191304535137069225e+07+0.000000000000000000e+00j)  (1.267799881886390096e+02+1.352271860787244577e+02j)
 (8.391092450628218055e+07+0.000000000000000000e+00j)  (2.960694963241961659e+02+5.904425950809471857e+01j)
 (8.590880366119365394e+07+0.000000000000000000e+00j)  (2.737148069988124348e+02-1.249743530959756868e+02j)
 (8.790668281610514224e+07+0.000000000000000000e+00j)  (9.343758492608124300e+01-1.628739098979089874e+02j)
 (8.990456197101661563e+07+0.000000000000000000e+00j)  (1.842206627700916144e+00-9.547093523813970251e+00j)
 (9.190244112592810392e+07+0.000000000000000000e+00j)  (1.152734518807444744e+02+1.188437794076564984e+02j)
 (9.390032028083957732e+07+0.000000000000000000e+00j)  (2.672992436761558679e+02+4.865987780680499242e+01j)
 (9.589819943575105071e+07+0.000000000000000000e+00j)  (2.457618711135177705e+02-1.172428640732174046e+02j)
 (9.789607859066253901e+07+0.000000000000000000e+00j)  (8.263761306338625445e+01-1.498498802762310618e+02j)
 (9.989395774557401240e+07+0.000000000000000000e+00j)  (1.407389752944484540e+00-9.912702380494078369e+00j)
 (1.018918369004855007e+08+0.000000000000000000e+00j)  (1.061945138774333657e+02+1.056342983560831073e+02j)
 (1.038897160553969741e+08+0.000000000000000000e+00j)  (2.443679421175582149e+02+4.000068056402897554e+01j)
 (1.058875952103084624e+08+0.000000000000000000e+00j)  (2.232086652178380177e+02-1.114469231922248440e+02j)
 (1.078854743652199358e+08+0.000000000000000000e+00j)  (7.371317143307753383e+01-1.396047668335452840e+02j)
 (1.098833535201314241e+08+0.000000000000000000e+00j)  (9.616678204264398344e-01-1.030437317959244758e+01j)
 (1.118812326750428975e+08+0.000000000000000000e+00j)  (9.893040228912609280e+01+9.474018155433932975e+01j)
 (1.138791118299543858e+08+0.000000000000000000e+00j)  (2.257956537225013847e+02+3.255371540193984714e+01j)
 (1.158769909848658592e+08+0.000000000000000000e+00j)  (2.046747697030768904e+02-1.071810064239119384e+02j)
 (1.178748701397773474e+08+0.000000000000000000e+00j)  (6.615761774852057897e+01-1.315001697356310615e+02j)
