#    f [Hz]                    Charge distribution spectrum [C/s]
# ------------------------------------------------
 (0.000000000000000000e+00+0.000000000000000000e+00j)  (2.997924580000000000e+08+0.000000000000000000e+00j)
 (2.000057696568074171e+06+0.000000000000000000e+00j)  (2.997436774787681103e+08-5.371301434395251796e+06j)
 (4.000115393136148341e+06+0.000000000000000000e+00j)  (2.995973526409288049e+08-1.074080771110217832e+07j)
 (6.000173089704222977e+06+0.000000000000000000e+00j)  (2.993535336580328941e+08-1.610672430331576616e+07j)
 (8.000230786272296682e+06+0.000000000000000000e+00j)  (2.990123041292682886e+08-2.146725794576524198e+07j)
 (1.000028848284037039e+07+0.000000000000000000e+00j)  (2.985737810513738394e+08-2.682061726490055025e+07j)
 (1.200034617940844595e+07+0.000000000000000000e+00j)  (2.980381147765356898e+08-3.216501340838205069e+07j)
 (1.400040387597651966e+07+0.000000000000000000e+00j)  (2.974054889582779408e+08-3.749866067364203930e+07j)
 (1.600046157254459336e+07+0.000000000000000000e+00j)  (2.966761204853737950e+08-4.281977713528613746e+07j)
 (1.800051926911266893e+07+0.000000000000000000e+00j)  (2.958502594037969708e+08-4.812658527110408247e+07j)
 (2.000057696568074077e+07+0.000000000000000000e+00j)  (2.949281888267468214e+08-5.341731258645927161e+07j)
 (2.200063466224881634e+07+0.000000000000000000e+00j)  (2.939102248327777386e+08-5.869019223682683706e+07j)
 (2.400069235881689191e+07+0.000000000000000000e+00j)  (2.927967163520734906e+08-6.394346364825206995e+07j)
 (2.600075005538496375e+07+0.000000000000000000e+00j)  (2.915880450409076810e+08-6.917537313549974561e+07j)
 (2.800080775195303932e+07+0.000000000000000000e+00j)  (2.902846251443394423e+08-7.438417451766790450e+07j)
 (3.000086544852111116e+07+0.000000000000000000e+00j)  (2.888869033471938372e+08-7.956812973103900254e+07j)
 (3.200092314508918673e+07+0.000000000000000000e+00j)  (2.873953586133847833e+08-8.472550943894329667e+07j)
 (3.400098084165725857e+07+0.000000000000000000e+00j)  (2.858105020136408210e+08-8.985459363841032982e+07j)
 (3.600103853822533786e+07+0.000000000000000000e+00j)  (2.841328765416959524e+08-9.495367226338504255e+07j)
 (3.800109623479340971e+07+0.000000000000000000e+00j)  (2.823630569190201163e+08-1.000210457842873931e+08j)
 (4.000115393136148155e+07+0.000000000000000000e+00j)  (2.805016493881570697e+08-1.050550258036952466e+08j)
 (4.200121162792956084e+07+0.000000000000000000e+00j)  (2.785492914947498441e+08-1.100539356479305178e+08j)
